parameter,location,species,year,datavalue
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1993,0.461667835
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1994,0.545816407
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1995,0.310782642
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1996,0.565024837
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1997,0.55151755
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1998,0.211232836
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,2002,0.190422297
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,2005,0.328932048
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,2006,0.239941506
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,2007,0.376103702
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,2008,0.34944288
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,2009,0.470997668
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,2010,0.322720028
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,2011,0.429214454
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,2012,0.341553106
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,2013,0.367086484
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,2014,0.242680536
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,2015,0.400346428
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,2016,0.414351157
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,2017,0
Total exploitation rate,Hecate Strait Mainland,Coho,1954,0.30225861
Total exploitation rate,Hecate Strait Mainland,Coho,1955,0.30225861
Total exploitation rate,Hecate Strait Mainland,Coho,1956,0.30225861
Total exploitation rate,Hecate Strait Mainland,Coho,1957,0.30225861
Total exploitation rate,Hecate Strait Mainland,Coho,1958,0.30225861
Total exploitation rate,Hecate Strait Mainland,Coho,1959,0.30225861
Total exploitation rate,Hecate Strait Mainland,Coho,1960,0.30225861
Total exploitation rate,Hecate Strait Mainland,Coho,1961,0.30225861
Total exploitation rate,Hecate Strait Mainland,Coho,1962,0.30225861
Total exploitation rate,Hecate Strait Mainland,Coho,1963,0.274780555
Total exploitation rate,Hecate Strait Mainland,Coho,1964,0.346223499
Total exploitation rate,Hecate Strait Mainland,Coho,1965,0.263789332
Total exploitation rate,Hecate Strait Mainland,Coho,1966,0.324241054
Total exploitation rate,Hecate Strait Mainland,Coho,1967,0.258293721
Total exploitation rate,Hecate Strait Mainland,Coho,1968,0.324241054
Total exploitation rate,Hecate Strait Mainland,Coho,1969,0.274780555
Total exploitation rate,Hecate Strait Mainland,Coho,1970,0.313249832
Total exploitation rate,Hecate Strait Mainland,Coho,1971,0.313249832
Total exploitation rate,Hecate Strait Mainland,Coho,1972,0.362710332
Total exploitation rate,Hecate Strait Mainland,Coho,1973,0.280276166
Total exploitation rate,Hecate Strait Mainland,Coho,1974,0.307754221
Total exploitation rate,Hecate Strait Mainland,Coho,1975,0.25279811
Total exploitation rate,Hecate Strait Mainland,Coho,1976,0.25279811
Total exploitation rate,Hecate Strait Mainland,Coho,1977,0.324241054
Total exploitation rate,Hecate Strait Mainland,Coho,1978,0.379197165
Total exploitation rate,Hecate Strait Mainland,Coho,1979,0.390188388
Total exploitation rate,Hecate Strait Mainland,Coho,1980,0.406675221
Total exploitation rate,Hecate Strait Mainland,Coho,1981,0.368205943
Total exploitation rate,Hecate Strait Mainland,Coho,1982,0.318745443
Total exploitation rate,Hecate Strait Mainland,Coho,1983,0.445144498
Total exploitation rate,Hecate Strait Mainland,Coho,1984,0.395683999
Total exploitation rate,Hecate Strait Mainland,Coho,1985,0.412170832
Total exploitation rate,Hecate Strait Mainland,Coho,1986,0.456135721
Total exploitation rate,Hecate Strait Mainland,Coho,1987,0.35171911
Total exploitation rate,Hecate Strait Mainland,Coho,1988,0.346223499
Total exploitation rate,Hecate Strait Mainland,Coho,1989,0.3379193
Total exploitation rate,Hecate Strait Mainland,Coho,1990,0.3832653
Total exploitation rate,Hecate Strait Mainland,Coho,1991,0.324956429
Total exploitation rate,Hecate Strait Mainland,Coho,1992,0.327128935
Total exploitation rate,Hecate Strait Mainland,Coho,1993,0.29235067
Total exploitation rate,Hecate Strait Mainland,Coho,1994,0.330473681
Total exploitation rate,Hecate Strait Mainland,Coho,1995,0.197903485
Total exploitation rate,Hecate Strait Mainland,Coho,1996,0.403039507
Total exploitation rate,Hecate Strait Mainland,Coho,1997,0.380055079
Total exploitation rate,Hecate Strait Mainland,Coho,1998,0.124015805
Total exploitation rate,Hecate Strait Mainland,Coho,1999,0.120689138
Total exploitation rate,Hecate Strait Mainland,Coho,2000,0.08839075
Total exploitation rate,Hecate Strait Mainland,Coho,2001,0.155679921
Total exploitation rate,Hecate Strait Mainland,Coho,2002,0.120628648
Total exploitation rate,Hecate Strait Mainland,Coho,2003,0.15589948
Total exploitation rate,Hecate Strait Mainland,Coho,2004,0.220419971
Total exploitation rate,Hecate Strait Mainland,Coho,2005,0.173756693
Total exploitation rate,Hecate Strait Mainland,Coho,2006,0.144733392
Total exploitation rate,Hecate Strait Mainland,Coho,2007,0.179879711
Total exploitation rate,Hecate Strait Mainland,Coho,2008,0.176232132
Total exploitation rate,Hecate Strait Mainland,Coho,2009,0.209328783
Total exploitation rate,Hecate Strait Mainland,Coho,2010,0.184168038
Total exploitation rate,Hecate Strait Mainland,Coho,2011,0.171685782
Total exploitation rate,Hecate Strait Mainland,Coho,2012,0.136621242
Total exploitation rate,Hecate Strait Mainland,Coho,2013,0.146834594
Total exploitation rate,Hecate Strait Mainland,Coho,2014,0.097072214
Total exploitation rate,Hecate Strait Mainland,Coho,2015,0.160138571
Total exploitation rate,Hecate Strait Mainland,Coho,2016,0.165740463
Total exploitation rate,Hecate Strait Mainland,Coho,2017,0
Total exploitation rate,Mussel-Kynoch,Coho,1954,0.333372217
Total exploitation rate,Mussel-Kynoch,Coho,1955,0.333372217
Total exploitation rate,Mussel-Kynoch,Coho,1956,0.333372217
Total exploitation rate,Mussel-Kynoch,Coho,1957,0.333372217
Total exploitation rate,Mussel-Kynoch,Coho,1958,0.333372217
Total exploitation rate,Mussel-Kynoch,Coho,1959,0.333372217
Total exploitation rate,Mussel-Kynoch,Coho,1960,0.333372217
Total exploitation rate,Mussel-Kynoch,Coho,1961,0.333372217
Total exploitation rate,Mussel-Kynoch,Coho,1962,0.333372217
Total exploitation rate,Mussel-Kynoch,Coho,1963,0.303065652
Total exploitation rate,Mussel-Kynoch,Coho,1964,0.381862722
Total exploitation rate,Mussel-Kynoch,Coho,1965,0.290943026
Total exploitation rate,Mussel-Kynoch,Coho,1966,0.357617469
Total exploitation rate,Mussel-Kynoch,Coho,1967,0.284881713
Total exploitation rate,Mussel-Kynoch,Coho,1968,0.357617469
Total exploitation rate,Mussel-Kynoch,Coho,1969,0.303065652
Total exploitation rate,Mussel-Kynoch,Coho,1970,0.345494843
Total exploitation rate,Mussel-Kynoch,Coho,1971,0.345494843
Total exploitation rate,Mussel-Kynoch,Coho,1972,0.400046661
Total exploitation rate,Mussel-Kynoch,Coho,1973,0.309126965
Total exploitation rate,Mussel-Kynoch,Coho,1974,0.33943353
Total exploitation rate,Mussel-Kynoch,Coho,1975,0.2788204
Total exploitation rate,Mussel-Kynoch,Coho,1976,0.2788204
Total exploitation rate,Mussel-Kynoch,Coho,1977,0.357617469
Total exploitation rate,Mussel-Kynoch,Coho,1978,0.4182306
Total exploitation rate,Mussel-Kynoch,Coho,1979,0.430353226
Total exploitation rate,Mussel-Kynoch,Coho,1980,0.448537165
Total exploitation rate,Mussel-Kynoch,Coho,1981,0.406107974
Total exploitation rate,Mussel-Kynoch,Coho,1982,0.351556156
Total exploitation rate,Mussel-Kynoch,Coho,1983,0.490966356
Total exploitation rate,Mussel-Kynoch,Coho,1984,0.436414539
Total exploitation rate,Mussel-Kynoch,Coho,1985,0.454598478
Total exploitation rate,Mussel-Kynoch,Coho,1986,0.503088983
Total exploitation rate,Mussel-Kynoch,Coho,1987,0.387924035
Total exploitation rate,Mussel-Kynoch,Coho,1988,0.381862722
Total exploitation rate,Mussel-Kynoch,Coho,1989,0.372705824
Total exploitation rate,Mussel-Kynoch,Coho,1990,0.422715102
Total exploitation rate,Mussel-Kynoch,Coho,1991,0.377619082
Total exploitation rate,Mussel-Kynoch,Coho,1992,0.394368611
Total exploitation rate,Mussel-Kynoch,Coho,1993,0.342785654
Total exploitation rate,Mussel-Kynoch,Coho,1994,0.396001644
Total exploitation rate,Mussel-Kynoch,Coho,1995,0.231426717
Total exploitation rate,Mussel-Kynoch,Coho,1996,0.447164044
Total exploitation rate,Mussel-Kynoch,Coho,1997,0.445692812
Total exploitation rate,Mussel-Kynoch,Coho,1998,0.152472678
Total exploitation rate,Mussel-Kynoch,Coho,1999,0.152973047
Total exploitation rate,Mussel-Kynoch,Coho,2000,0.105451151
Total exploitation rate,Mussel-Kynoch,Coho,2001,0.193505304
Total exploitation rate,Mussel-Kynoch,Coho,2002,0.138894865
Total exploitation rate,Mussel-Kynoch,Coho,2003,0.182786813
Total exploitation rate,Mussel-Kynoch,Coho,2004,0.254892524
Total exploitation rate,Mussel-Kynoch,Coho,2005,0.207028688
Total exploitation rate,Mussel-Kynoch,Coho,2006,0.169252023
Total exploitation rate,Mussel-Kynoch,Coho,2007,0.225938585
Total exploitation rate,Mussel-Kynoch,Coho,2008,0.222050625
Total exploitation rate,Mussel-Kynoch,Coho,2009,0.265358888
Total exploitation rate,Mussel-Kynoch,Coho,2010,0.222321448
Total exploitation rate,Mussel-Kynoch,Coho,2011,0.257528672
Total exploitation rate,Mussel-Kynoch,Coho,2012,0.204931863
Total exploitation rate,Mussel-Kynoch,Coho,2013,0.220251891
Total exploitation rate,Mussel-Kynoch,Coho,2014,0.145608322
Total exploitation rate,Mussel-Kynoch,Coho,2016,0.248610694
Total exploitation rate,Northern Coastal Streams,Coho,1954,0.333372217
Total exploitation rate,Northern Coastal Streams,Coho,1955,0.333372217
Total exploitation rate,Northern Coastal Streams,Coho,1956,0.333372217
Total exploitation rate,Northern Coastal Streams,Coho,1957,0.333372217
Total exploitation rate,Northern Coastal Streams,Coho,1958,0.333372217
Total exploitation rate,Northern Coastal Streams,Coho,1959,0.333372217
Total exploitation rate,Northern Coastal Streams,Coho,1960,0.333372217
Total exploitation rate,Northern Coastal Streams,Coho,1961,0.333372217
Total exploitation rate,Northern Coastal Streams,Coho,1962,0.333372217
Total exploitation rate,Northern Coastal Streams,Coho,1963,0.303065652
Total exploitation rate,Northern Coastal Streams,Coho,1964,0.381862722
Total exploitation rate,Northern Coastal Streams,Coho,1965,0.290943026
Total exploitation rate,Northern Coastal Streams,Coho,1966,0.357617469
Total exploitation rate,Northern Coastal Streams,Coho,1967,0.284881713
Total exploitation rate,Northern Coastal Streams,Coho,1968,0.357617469
Total exploitation rate,Northern Coastal Streams,Coho,1969,0.303065652
Total exploitation rate,Northern Coastal Streams,Coho,1970,0.345494843
Total exploitation rate,Northern Coastal Streams,Coho,1971,0.345494843
Total exploitation rate,Northern Coastal Streams,Coho,1972,0.400046661
Total exploitation rate,Northern Coastal Streams,Coho,1973,0.309126965
Total exploitation rate,Northern Coastal Streams,Coho,1974,0.33943353
Total exploitation rate,Northern Coastal Streams,Coho,1975,0.2788204
Total exploitation rate,Northern Coastal Streams,Coho,1976,0.2788204
Total exploitation rate,Northern Coastal Streams,Coho,1977,0.357617469
Total exploitation rate,Northern Coastal Streams,Coho,1978,0.4182306
Total exploitation rate,Northern Coastal Streams,Coho,1979,0.430353226
Total exploitation rate,Northern Coastal Streams,Coho,1980,0.448537165
Total exploitation rate,Northern Coastal Streams,Coho,1981,0.406107974
Total exploitation rate,Northern Coastal Streams,Coho,1982,0.351556156
Total exploitation rate,Northern Coastal Streams,Coho,1983,0.490966356
Total exploitation rate,Northern Coastal Streams,Coho,1984,0.436414539
Total exploitation rate,Northern Coastal Streams,Coho,1985,0.454598478
Total exploitation rate,Northern Coastal Streams,Coho,1986,0.503088983
Total exploitation rate,Northern Coastal Streams,Coho,1987,0.387924035
Total exploitation rate,Northern Coastal Streams,Coho,1988,0.381862722
Total exploitation rate,Northern Coastal Streams,Coho,1989,0.372705824
Total exploitation rate,Northern Coastal Streams,Coho,1990,0.422715102
Total exploitation rate,Northern Coastal Streams,Coho,1991,0.377619082
Total exploitation rate,Northern Coastal Streams,Coho,1992,0.394368611
Total exploitation rate,Northern Coastal Streams,Coho,1993,0.342785654
Total exploitation rate,Northern Coastal Streams,Coho,1994,0.396001644
Total exploitation rate,Northern Coastal Streams,Coho,1995,0.231426717
Total exploitation rate,Northern Coastal Streams,Coho,1996,0.447164044
Total exploitation rate,Northern Coastal Streams,Coho,1997,0.445692812
Total exploitation rate,Northern Coastal Streams,Coho,1998,0.152472678
Total exploitation rate,Northern Coastal Streams,Coho,1999,0.152973047
Total exploitation rate,Northern Coastal Streams,Coho,2000,0.105451151
Total exploitation rate,Northern Coastal Streams,Coho,2001,0.193505304
Total exploitation rate,Northern Coastal Streams,Coho,2002,0.138894865
Total exploitation rate,Northern Coastal Streams,Coho,2003,0.182786813
Total exploitation rate,Northern Coastal Streams,Coho,2004,0.254892524
Total exploitation rate,Northern Coastal Streams,Coho,2005,0.207028688
Total exploitation rate,Northern Coastal Streams,Coho,2006,0.169252023
Total exploitation rate,Northern Coastal Streams,Coho,2007,0.225938585
Total exploitation rate,Northern Coastal Streams,Coho,2008,0.222050625
Total exploitation rate,Northern Coastal Streams,Coho,2009,0.265358888
Total exploitation rate,Northern Coastal Streams,Coho,2010,0.222321448
Total exploitation rate,Northern Coastal Streams,Coho,2011,0.257528672
Total exploitation rate,Northern Coastal Streams,Coho,2012,0.204931863
Total exploitation rate,Northern Coastal Streams,Coho,2013,0.220251891
Total exploitation rate,Northern Coastal Streams,Coho,2014,0.145608322
Total exploitation rate,Northern Coastal Streams,Coho,2015,0.240207857
Total exploitation rate,Northern Coastal Streams,Coho,2016,0.248610694
Total exploitation rate,Northern Coastal Streams,Coho,2017,0
Total exploitation rate,Rivers Inlet,Coho,1954,0.259662586
Total exploitation rate,Rivers Inlet,Coho,1955,0.259662586
Total exploitation rate,Rivers Inlet,Coho,1956,0.259662586
Total exploitation rate,Rivers Inlet,Coho,1957,0.259662586
Total exploitation rate,Rivers Inlet,Coho,1958,0.259662586
Total exploitation rate,Rivers Inlet,Coho,1959,0.259662586
Total exploitation rate,Rivers Inlet,Coho,1960,0.259662586
Total exploitation rate,Rivers Inlet,Coho,1961,0.259662586
Total exploitation rate,Rivers Inlet,Coho,1962,0.259662586
Total exploitation rate,Rivers Inlet,Coho,1963,0.236056896
Total exploitation rate,Rivers Inlet,Coho,1964,0.297431689
Total exploitation rate,Rivers Inlet,Coho,1965,0.22661462
Total exploitation rate,Rivers Inlet,Coho,1966,0.278547137
Total exploitation rate,Rivers Inlet,Coho,1967,0.221893482
Total exploitation rate,Rivers Inlet,Coho,1968,0.278547137
Total exploitation rate,Rivers Inlet,Coho,1969,0.236056896
Total exploitation rate,Rivers Inlet,Coho,1970,0.269104862
Total exploitation rate,Rivers Inlet,Coho,1971,0.269104862
Total exploitation rate,Rivers Inlet,Coho,1972,0.311595103
Total exploitation rate,Rivers Inlet,Coho,1973,0.240778034
Total exploitation rate,Rivers Inlet,Coho,1974,0.264383724
Total exploitation rate,Rivers Inlet,Coho,1975,0.217172344
Total exploitation rate,Rivers Inlet,Coho,1976,0.217172344
Total exploitation rate,Rivers Inlet,Coho,1977,0.278547137
Total exploitation rate,Rivers Inlet,Coho,1978,0.325758517
Total exploitation rate,Rivers Inlet,Coho,1979,0.335200792
Total exploitation rate,Rivers Inlet,Coho,1980,0.349364206
Total exploitation rate,Rivers Inlet,Coho,1981,0.316316241
Total exploitation rate,Rivers Inlet,Coho,1982,0.273825999
Total exploitation rate,Rivers Inlet,Coho,1983,0.382412172
Total exploitation rate,Rivers Inlet,Coho,1984,0.33992193
Total exploitation rate,Rivers Inlet,Coho,1985,0.354085344
Total exploitation rate,Rivers Inlet,Coho,1986,0.391854447
Total exploitation rate,Rivers Inlet,Coho,1987,0.302152827
Total exploitation rate,Rivers Inlet,Coho,1988,0.297431689
Total exploitation rate,Rivers Inlet,Coho,1989,0.290295857
Total exploitation rate,Rivers Inlet,Coho,1990,0.329255511
Total exploitation rate,Rivers Inlet,Coho,1998,0.086970282
Total exploitation rate,Rivers Inlet,Coho,2002,0.087997014
Total exploitation rate,Rivers Inlet,Coho,2004,0.171850741
Total exploitation rate,Rivers Inlet,Coho,2005,0.126181039
Total exploitation rate,Rivers Inlet,Coho,2007,0.119651642
Total exploitation rate,Rivers Inlet,Coho,2008,0.116212847
Total exploitation rate,Rivers Inlet,Coho,2009,0.139164216
Total exploitation rate,Rivers Inlet,Coho,2010,0.132010075
Total exploitation rate,Rivers Inlet,Coho,2011,0.120690429
Total exploitation rate,Rivers Inlet,Coho,2012,0.083256919
Total exploitation rate,Rivers Inlet,Coho,2013,0.093617298
Total exploitation rate,Smith Inlet,Coho,1954,0.259662586
Total exploitation rate,Smith Inlet,Coho,1955,0.259662586
Total exploitation rate,Smith Inlet,Coho,1958,0.259662586
Total exploitation rate,Smith Inlet,Coho,1959,0.259662586
Total exploitation rate,Smith Inlet,Coho,1960,0.259662586
Total exploitation rate,Smith Inlet,Coho,1961,0.259662586
Total exploitation rate,Smith Inlet,Coho,1962,0.259662586
Total exploitation rate,Smith Inlet,Coho,1963,0.236056896
Total exploitation rate,Smith Inlet,Coho,1964,0.297431689
Total exploitation rate,Smith Inlet,Coho,1965,0.22661462
Total exploitation rate,Smith Inlet,Coho,1966,0.278547137
Total exploitation rate,Smith Inlet,Coho,1967,0.221893482
Total exploitation rate,Smith Inlet,Coho,1968,0.278547137
Total exploitation rate,Smith Inlet,Coho,1969,0.236056896
Total exploitation rate,Smith Inlet,Coho,1970,0.269104862
Total exploitation rate,Smith Inlet,Coho,1971,0.269104862
Total exploitation rate,Smith Inlet,Coho,1973,0.240778034
Total exploitation rate,Smith Inlet,Coho,1974,0.264383724
Total exploitation rate,Smith Inlet,Coho,1998,0.086970282
Total exploitation rate,Smith Inlet,Coho,1999,0.080048772
Total exploitation rate,Smith Inlet,Coho,2000,0.061336037
Total exploitation rate,Smith Inlet,Coho,2001,0.103677887
Total exploitation rate,Smith Inlet,Coho,2002,0.087997014
Total exploitation rate,Smith Inlet,Coho,2003,0.114773581
Total exploitation rate,Smith Inlet,Coho,2004,0.171850741
Total exploitation rate,Smith Inlet,Coho,2005,0.126181039
Total exploitation rate,Smith Inlet,Coho,2006,0.105994438
Total exploitation rate,Smith Inlet,Coho,2007,0.119651642
Total exploitation rate,Smith Inlet,Coho,2008,0.116212847
Total exploitation rate,Smith Inlet,Coho,2009,0.139164216
Total exploitation rate,Smith Inlet,Coho,2010,0.132010075
Total exploitation rate,Smith Inlet,Coho,2011,0.120690429
Total exploitation rate,Smith Inlet,Coho,2012,0.083256919
Total exploitation rate,Smith Inlet,Coho,2013,0.093617298
Total exploitation rate,Smith Inlet,Coho,2014,0.062342712
Total exploitation rate,Backland,Lake sockeye,1957,0.359707147
Total exploitation rate,Backland,Lake sockeye,1958,0.637594054
Total exploitation rate,Backland,Lake sockeye,1961,0.330799701
Total exploitation rate,Backland,Lake sockeye,1966,0.394707207
Total exploitation rate,Backland,Lake sockeye,1971,0.36200344
Total exploitation rate,Backland,Lake sockeye,1972,0.859488497
Total exploitation rate,Backland,Lake sockeye,1975,0.326826275
Total exploitation rate,Backland,Lake sockeye,1981,0.798165341
Total exploitation rate,Backland,Lake sockeye,1982,0.526374558
Total exploitation rate,Backland,Lake sockeye,1986,0.462389797
Total exploitation rate,Backland,Lake sockeye,1987,0.458532875
Total exploitation rate,Backland,Lake sockeye,1988,0.640688562
Total exploitation rate,Backland,Lake sockeye,1989,0.071432474
Total exploitation rate,Backland,Lake sockeye,1992,0.28036446
Total exploitation rate,Backland,Lake sockeye,1993,0.104519968
Total exploitation rate,Backland,Lake sockeye,1995,0.185435238
Total exploitation rate,Backland,Lake sockeye,1996,0.214578394
Total exploitation rate,Backland,Lake sockeye,1997,0.135479009
Total exploitation rate,Backland,Lake sockeye,1998,0.340470905
Total exploitation rate,Backland,Lake sockeye,2002,0.297086495
Total exploitation rate,Backland,Lake sockeye,2004,0.09571189
Total exploitation rate,Backland,Lake sockeye,2006,0.016254203
Total exploitation rate,Backland,Lake sockeye,2008,0.007779269
Total exploitation rate,Backland,Lake sockeye,2012,0
Total exploitation rate,Backland,Lake sockeye,2013,0.089804945
Total exploitation rate,Backland,Lake sockeye,2015,0
Total exploitation rate,Backland,Lake sockeye,2016,0
Total exploitation rate,Backland,Lake sockeye,2017,0
Total exploitation rate,Bloomfield,Lake sockeye,1954,0.400210732
Total exploitation rate,Bloomfield,Lake sockeye,1955,0.598890341
Total exploitation rate,Bloomfield,Lake sockeye,1956,0.652939267
Total exploitation rate,Bloomfield,Lake sockeye,1957,0.359707147
Total exploitation rate,Bloomfield,Lake sockeye,1958,0.637594054
Total exploitation rate,Bloomfield,Lake sockeye,1959,0.377900764
Total exploitation rate,Bloomfield,Lake sockeye,1960,0.467935889
Total exploitation rate,Bloomfield,Lake sockeye,1961,0.330799701
Total exploitation rate,Bloomfield,Lake sockeye,1962,0.244310705
Total exploitation rate,Bloomfield,Lake sockeye,1963,0.091442463
Total exploitation rate,Bloomfield,Lake sockeye,1964,0.490906962
Total exploitation rate,Bloomfield,Lake sockeye,1966,0.394707207
Total exploitation rate,Bloomfield,Lake sockeye,1967,0.313025207
Total exploitation rate,Bloomfield,Lake sockeye,1968,0.378133685
Total exploitation rate,Bloomfield,Lake sockeye,1970,0.6272367
Total exploitation rate,Bloomfield,Lake sockeye,1971,0.36200344
Total exploitation rate,Bloomfield,Lake sockeye,1972,0.859488497
Total exploitation rate,Bloomfield,Lake sockeye,1973,0.474605531
Total exploitation rate,Bloomfield,Lake sockeye,1974,0.437495004
Total exploitation rate,Bloomfield,Lake sockeye,1975,0.326826275
Total exploitation rate,Bloomfield,Lake sockeye,1976,0.388076644
Total exploitation rate,Bloomfield,Lake sockeye,1977,0.351215233
Total exploitation rate,Bloomfield,Lake sockeye,1978,0.730531484
Total exploitation rate,Bloomfield,Lake sockeye,1979,0.749206563
Total exploitation rate,Bloomfield,Lake sockeye,1980,0.633019141
Total exploitation rate,Bloomfield,Lake sockeye,1981,0.798165341
Total exploitation rate,Bloomfield,Lake sockeye,1982,0.526374558
Total exploitation rate,Bloomfield,Lake sockeye,1983,0.603257611
Total exploitation rate,Bloomfield,Lake sockeye,1984,0.165667151
Total exploitation rate,Bloomfield,Lake sockeye,1985,0.477248021
Total exploitation rate,Bloomfield,Lake sockeye,1986,0.462389797
Total exploitation rate,Bloomfield,Lake sockeye,1987,0.458532875
Total exploitation rate,Bloomfield,Lake sockeye,1988,0.640688562
Total exploitation rate,Bloomfield,Lake sockeye,1989,0.071432474
Total exploitation rate,Bloomfield,Lake sockeye,1990,0.634026705
Total exploitation rate,Bloomfield,Lake sockeye,1991,0.26849945
Total exploitation rate,Bloomfield,Lake sockeye,1992,0.28036446
Total exploitation rate,Bloomfield,Lake sockeye,1993,0.104519968
Total exploitation rate,Bloomfield,Lake sockeye,1994,0.256530183
Total exploitation rate,Bloomfield,Lake sockeye,1995,0.185435238
Total exploitation rate,Bloomfield,Lake sockeye,1996,0.214578394
Total exploitation rate,Bloomfield,Lake sockeye,1997,0.135479009
Total exploitation rate,Bloomfield,Lake sockeye,1998,0.340470905
Total exploitation rate,Bloomfield,Lake sockeye,1999,0.179254416
Total exploitation rate,Bloomfield,Lake sockeye,2000,0.331422414
Total exploitation rate,Bloomfield,Lake sockeye,2001,0.36277752
Total exploitation rate,Bloomfield,Lake sockeye,2002,0.297086495
Total exploitation rate,Bloomfield,Lake sockeye,2004,0.09571189
Total exploitation rate,Bloomfield,Lake sockeye,2005,0.449098131
Total exploitation rate,Bloomfield,Lake sockeye,2006,0.016254203
Total exploitation rate,Bloomfield,Lake sockeye,2007,0.254206425
Total exploitation rate,Bloomfield,Lake sockeye,2008,0.007779269
Total exploitation rate,Bloomfield,Lake sockeye,2009,0.359935169
Total exploitation rate,Bloomfield,Lake sockeye,2010,0.039380518
Total exploitation rate,Bloomfield,Lake sockeye,2011,0.2508831
Total exploitation rate,Bloomfield,Lake sockeye,2012,0
Total exploitation rate,Bloomfield,Lake sockeye,2013,0.089804945
Total exploitation rate,Bloomfield,Lake sockeye,2014,0.349118044
Total exploitation rate,Canoona,Lake sockeye,1966,0.394707207
Total exploitation rate,Canoona,Lake sockeye,1967,0.313025207
Total exploitation rate,Canoona,Lake sockeye,1968,0.378133685
Total exploitation rate,Canoona,Lake sockeye,1975,0.326826275
Total exploitation rate,Canoona,Lake sockeye,1976,0.388076644
Total exploitation rate,Canoona,Lake sockeye,1977,0.351215233
Total exploitation rate,Canoona,Lake sockeye,1978,0.730531484
Total exploitation rate,Canoona,Lake sockeye,1979,0.749206563
Total exploitation rate,Canoona,Lake sockeye,1980,0.633019141
Total exploitation rate,Canoona,Lake sockeye,1981,0.798165341
Total exploitation rate,Canoona,Lake sockeye,1982,0.526374558
Total exploitation rate,Canoona,Lake sockeye,1983,0.603257611
Total exploitation rate,Canoona,Lake sockeye,1984,0.165667151
Total exploitation rate,Canoona,Lake sockeye,1985,0.477248021
Total exploitation rate,Canoona,Lake sockeye,1986,0.462389797
Total exploitation rate,Canoona,Lake sockeye,1987,0.458532875
Total exploitation rate,Canoona,Lake sockeye,1988,0.640688562
Total exploitation rate,Canoona,Lake sockeye,1989,0.071432474
Total exploitation rate,Canoona,Lake sockeye,1990,0.634026705
Total exploitation rate,Canoona,Lake sockeye,1991,0.26849945
Total exploitation rate,Canoona,Lake sockeye,1992,0.28036446
Total exploitation rate,Canoona,Lake sockeye,1993,0.104519968
Total exploitation rate,Canoona,Lake sockeye,1994,0.256530183
Total exploitation rate,Canoona,Lake sockeye,1995,0.185435238
Total exploitation rate,Canoona,Lake sockeye,1996,0.214578394
Total exploitation rate,Canoona,Lake sockeye,1997,0.135479009
Total exploitation rate,Canoona,Lake sockeye,1998,0.340470905
Total exploitation rate,Canoona,Lake sockeye,1999,0.179254416
Total exploitation rate,Canoona,Lake sockeye,2000,0.331422414
Total exploitation rate,Canoona,Lake sockeye,2001,0.36277752
Total exploitation rate,Canoona,Lake sockeye,2002,0.297086495
Total exploitation rate,Canoona,Lake sockeye,2003,0.539869951
Total exploitation rate,Canoona,Lake sockeye,2004,0.09571189
Total exploitation rate,Canoona,Lake sockeye,2005,0.449098131
Total exploitation rate,Canoona,Lake sockeye,2006,0.016254203
Total exploitation rate,Canoona,Lake sockeye,2008,0.007779269
Total exploitation rate,Canoona,Lake sockeye,2009,0.359935169
Total exploitation rate,Canoona,Lake sockeye,2010,0.039380518
Total exploitation rate,Canoona,Lake sockeye,2011,0.2508831
Total exploitation rate,Canoona,Lake sockeye,2012,0
Total exploitation rate,Canoona,Lake sockeye,2013,0.089804945
Total exploitation rate,Canoona,Lake sockeye,2014,0.349118044
Total exploitation rate,Canoona,Lake sockeye,2016,0
Total exploitation rate,Curtis Inlet,Lake sockeye,1960,0.166510251
Total exploitation rate,Curtis Inlet,Lake sockeye,1961,0.157333482
Total exploitation rate,Curtis Inlet,Lake sockeye,1962,0.17193874
Total exploitation rate,Curtis Inlet,Lake sockeye,1963,0.105519081
Total exploitation rate,Curtis Inlet,Lake sockeye,1964,0.16628193
Total exploitation rate,Curtis Inlet,Lake sockeye,1965,0.141273824
Total exploitation rate,Curtis Inlet,Lake sockeye,1966,0.195939427
Total exploitation rate,Curtis Inlet,Lake sockeye,1967,0.215115368
